,,,,,,,,,109年02月 2412 中華電           各日成交資訊
日期,成交股數,成交金額,開盤價,最高價,最低價,收盤價,漲跌價差,成交筆數,
109/02/03,"12,973,281","1,397,347,629",107.50,108.00,107.00,108.00, 0.00,"4,187",
109/02/04,"13,601,163","1,468,086,658",107.50,108.50,107.00,108.00, 0.00,"3,820",
109/02/05,"7,127,971","770,713,796",108.00,108.50,108.00,108.00, 0.00,"3,972",
109/02/06,"5,967,464","648,023,076",108.50,109.00,108.50,108.50,+0.50,"3,177",
109/02/07,"7,526,636","818,778,824",109.00,109.00,108.50,109.00,+0.50,"3,456",
109/02/10,"6,295,322","683,774,098",109.00,109.00,108.00,109.00, 0.00,"1,938",
109/02/11,"3,888,202","423,045,518",109.00,109.50,108.50,108.50,-0.50,"2,328",
109/02/12,"6,959,768","756,506,712",109.00,109.00,108.50,108.50, 0.00,"3,995",
109/02/13,"5,627,386","613,788,715",109.00,109.50,108.50,109.50,+1.00,"2,219",
109/02/14,"3,179,443","347,651,480",109.50,109.50,109.00,109.00,-0.50,"1,629",
109/02/17,"4,673,114","511,748,540",109.00,110.00,109.00,110.00,+1.00,"2,587",
109/02/18,"2,812,057","308,516,270",109.50,110.00,109.50,109.50,-0.50,"1,511",
109/02/19,"4,873,771","535,965,810",110.00,110.50,109.50,110.00,+0.50,"2,980",
109/02/20,"6,727,345","738,687,950",110.00,110.50,109.50,109.50,-0.50,"2,391",
109/02/21,"4,980,603","546,017,984",109.50,110.00,109.50,109.50, 0.00,"2,503",
109/02/24,"7,465,889","813,186,401",109.50,109.50,108.50,108.50,-1.00,"3,528",
109/02/25,"5,278,040","572,515,860",108.50,109.00,108.00,108.50, 0.00,"2,789",
109/02/26,"6,856,707","742,485,172",108.00,109.00,108.00,108.00,-0.50,"2,980",
109/02/27,"8,037,695","869,523,873",108.00,108.50,108.00,108.00, 0.00,"3,419",
說明:,,,,,,,,,
符號說明:+/-/X表示漲/跌/不比價,,,,,,,,,
當日統計資訊含一般、零股、盤後定價、鉅額交易，不含拍賣、標購。,,,,,,,,,
ETF證券代號第六碼為K、M、S、C者，表示該ETF以外幣交易。,,,,,,,,,
權證證券代號可重複使用，權證顯示之名稱係目前存續權證之簡稱。,,,,,,,,,
